forecast_hour,MAE,RMSE,MAPE
1,7291.453379578756,9648.079858681056,3.8848494926396007
2,9164.253147435897,11883.481606427824,4.9108450452118015
3,9498.710362522894,12138.598984783759,5.000299136774249
4,10600.16638404304,13396.678938682133,5.5239925288313
5,9764.781916094324,12538.957600905243,4.975042867967546
6,10510.60182337454,13318.498910621665,5.447578253817776
7,10532.924681662087,13499.748751998442,5.406575897264008
8,10437.667362980768,13506.028364143935,5.399903986328978
9,11969.547552999084,15276.37195620772,6.369140851233901
10,11341.97265430403,14674.383532714313,5.942919770360355
11,10896.923207188644,14194.452904136739,5.6351285303067495
12,10092.811874885532,13343.130350030218,5.160982076095375
13,10736.417566964285,14130.826159264972,5.550020623780066
14,10762.42972985348,14242.695269986618,5.447977955279567
15,10586.894991071427,14143.835966136536,5.332491430064667
16,10333.975352564103,14145.114212226657,5.200637442527465
17,10590.776589171244,14416.014439919985,5.3571048326063995
18,11608.315817193225,15238.82012735792,6.064720982013571
19,11235.204294757328,15048.256733594431,5.678775157222953
20,11885.20255437271,15685.947837401582,6.045338653096447
21,13202.698616643773,17437.566717167436,6.756325281688902
22,12309.877059294871,16506.084515393835,6.165709682413825
23,11085.025770032053,15453.995689881194,5.419581742261592
24,9985.283044757325,14623.27556451678,4.883007403567552
