forecast_origin,forecast_hour,actual,prediction,absolute_error
2013-12-24 09:00:00,11,148277.98,275507.72,127229.73999999996
2013-12-24 09:00:00,12,133775.31,259592.97,125817.66
2013-12-24 06:00:00,14,148277.98,271907.44,123629.45999999999
2013-12-24 05:00:00,16,133775.31,256911.44,123136.13
2013-12-24 10:00:00,11,133775.31,256226.25,122450.94
2013-12-25 17:00:00,24,265597.25,144103.61,121493.64000000001
2013-12-24 08:00:00,12,148277.98,269641.94,121363.95999999999
2013-12-24 04:00:00,17,133775.31,255089.92,121314.61000000002
2013-12-24 07:00:00,14,133775.31,255044.47,121269.16
2013-12-24 10:00:00,10,148277.98,269490.16,121212.17999999996
2013-12-25 19:00:00,24,269289.28,148178.61,121110.67000000004
2013-12-25 20:00:00,23,269289.28,148261.81,121027.47000000003
2013-12-24 12:00:00,8,148277.98,269216.03,120938.05000000002
2013-12-25 19:00:00,23,267330.9,146993.1,120337.80000000002
2013-12-25 18:00:00,23,265597.25,145537.31,120059.94
2013-12-25 18:00:00,24,267330.9,147386.28,119944.62000000002
2013-12-24 04:00:00,16,148277.98,267879.06,119601.07999999999
2013-12-25 20:00:00,21,265597.25,146105.06,119492.19
2013-12-24 03:00:00,18,133775.31,252789.88,119014.57
2013-12-23 23:00:00,22,133775.31,252764.66,118989.35
